"NM_POINT_SOURCE","ID_POINT","NO_VALUE_ORIGINAL","NO_VALUE_STANDARD","TM_PERIOD_START","TM_PERIOD_END","TM_PROCESSED","NM_DERIVATION_TYPE","NM_MNEMONIC"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 08.15.00.000000000,04-SEP-20 08.29.59.999000000,04-SEP-20 08.24.38.964000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 08.30.00.000000000,04-SEP-20 08.44.59.999000000,04-SEP-20 08.39.34.009000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 08.45.00.000000000,04-SEP-20 08.59.59.999000000,04-SEP-20 08.54.25.585000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 09.00.00.000000000,04-SEP-20 09.14.59.999000000,04-SEP-20 09.09.31.369000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 09.15.00.000000000,04-SEP-20 09.29.59.999000000,04-SEP-20 09.24.32.692000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 09.30.00.000000000,04-SEP-20 09.44.59.999000000,04-SEP-20 09.39.42.204000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 09.45.00.000000000,04-SEP-20 09.59.59.999000000,04-SEP-20 09.54.32.840000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 10.00.00.000000000,04-SEP-20 10.14.59.999000000,04-SEP-20 10.09.34.469000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 10.15.00.000000000,04-SEP-20 10.29.59.999000000,04-SEP-20 10.24.32.069000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 10.30.00.000000000,04-SEP-20 10.44.59.999000000,04-SEP-20 10.39.34.845000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 10.45.00.000000000,04-SEP-20 10.59.59.999000000,04-SEP-20 10.55.35.633000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 11.00.00.000000000,04-SEP-20 11.14.59.999000000,04-SEP-20 11.09.29.585000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 11.15.00.000000000,04-SEP-20 11.29.59.999000000,04-SEP-20 11.24.41.213000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 11.30.00.000000000,04-SEP-20 11.44.59.999000000,04-SEP-20 11.39.38.580000000,"Average","mm/hr"
